grdc_no,wmo_reg,sub_reg,river,station,country,lat,long,area,altitude,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr
4122105,4,22,LOGAN CREEK,"NEAR UEHLING, NE",US,41.7128,-96.522,2628.9,368.42,1941,2017,77,2.114263228,,,,,1941,2017,77,7.496,0.236393856,89.92120507
4122110,4,22,DISMAL RIVER,"DUNNING, NE",US,41.8231,-100.1018,5283.6,794.4,1932,1995,64,27.15325951,,,,,1932,1995,64,9.351,0.294893136,55.81291846
4122111,4,22,DISMAL RIVER,"NEAR THEDFORD, NEBR.",US,41.7792,-100.5254,2501.9,853.48,1966,2019,54,7.623271589,,,,,1966,2019,54,6.027,0.190067472,75.96925217
4122120,4,22,SWEETWATER RIVER,"NEAR ALCOVA, WY",US,42.4577,-107.1964,6026.9,1804.42,1913,2018,106,35.07861594,,,,,1913,2018,106,3.392,0.106970112,17.74877831
4122130,4,22,SOUTH PLATTE RIVER,"ROSCOE, NEBR.",US,41.1258,-101.5768,61901,960.12,1982,2019,38,0,,,,,1982,2019,38,20.543,0.647844048,10.46580908
4122131,4,22,SOUTH PLATTE RIVER,"NEAR WELDONA, CO",US,40.3219,-103.9219,34162.1,1313.02,1952,2007,56,0,,,,,1952,2007,56,20.018,0.631287648,18.47918155
4122132,4,22,SOUTH PLATTE RIVER,"NEAR KERSEY, CO",US,40.4122,-104.5833,25016.8,1394.69,1901,2007,107,2.032468034,,,,,1901,2007,107,25.258,0.796536288,31.840055
4122133,4,22,SOUTH PLATTE RIVER,"HENDERSON, CO",US,39.9219,-104.8683,12349.1,1523.73,1926,2007,82,0,,,,,1926,2007,82,12.252,0.386379072,31.28803492
4122134,4,22,SOUTH PLATTE RIVER,"BELOW CHEESMAN LAKE, CO",US,39.2092,-105.2678,4537.7,2014.51,1924,2007,84,3.618670625,,,,,1924,2007,84,4.88,0.15389568,33.91490843
4122140,4,22,CACHE LA POUDRE RIVER,"NEAR GREELEY, CO",US,40.4178,-104.64,4861.4,1405.43,1903,1998,96,14.97620549,,,,,1903,1998,96,3.918,0.123558048,25.41614514
4122141,4,22,CACHE LA POUDRE RIVER,"NEAR FORT COLLINS, CO",US,40.6644,-105.2244,2735,1591.01,1881,2007,127,3.569569743,,,,,1881,2007,127,10.179,0.321004944,117.3692665
4122150,4,22,NORTH PLATTE RIVER,"NEAR KEYSTON, NEBR",US,41.2083,-101.631,75887,946.58,1942,1994,53,0,,,,,1942,1994,53,14.259,0.449671824,5.925544876
4122151,4,22,NORTH PLATTE RIVER,"ABOVE SEMINOE RESERVOIRE NR SINCLAIR, WY",US,41.8722,-107.0575,10813.3,1950.95,1939,2019,81,0,,,,,1939,2019,81,32.29,1.01829744,94.17083037
4122152,4,22,NORTH PLATTE RIVER,WYOMING-NEBRASKA STATE LINE,US,41.9886,-104.0533,57544.6,1226.82,1929,2019,91,0,,,,,1929,2019,91,22.243,0.701455248,12.18976669
4122153,4,22,NORTH PLATTE RIVER,"ORIN, WY",US,42.6505,-105.1633,38914.8,1420.37,1895,2019,125,50.66225166,,,,,1895,2019,125,45.692,1.440942912,37.02814641
4122154,4,22,NORTH PLATTE RIVER,"NEAR NORTHGATE, CO",US,40.6375,-106.3384,3706.3,2380.61,1904,2019,116,9.215578716,,,,,1904,2019,116,12.175,0.3839508,103.5940965
4122155,4,22,MEDICINE BOW RIVER,ABOVE SIMINOE RESERVOIRE NEAR HANNA NY,US,42.0097,-106.5131,6055.4,1955.41,1939,2019,81,0,,,,,1939,2019,81,5.017,0.158216112,26.12810252
4122160,4,22,NISHNABOTNA RIVER,"ABOVE HAMBURG, IA",US,40.6325,-95.6258,7267.5,272.54,1922,2019,98,5.136851571,,,,,1922,2019,98,40.365,1.27295064,175.1566068
4122165,4,22,NISHNABOTNA RIVER,"RANDOLPH, IA (WEST)",US,40.8731,-95.5803,3434.3,284.38,1948,2019,72,0,,,,,1948,2019,72,20.962,0.661057632,192.4868625
4122170,4,22,LITTLE NEMAHA RIVER,"AUBURN, NE",US,40.3925,-95.8131,2051.3,271.23,1949,2018,70,0,,,,,1949,2018,70,9.202,0.290194272,141.4684698
4122180,4,22,BIG NEMAHA RIVER,"FALLS CITY, NE",US,40.0356,-95.5961,3468,261.59,1944,2018,75,0,,,,,1944,2018,75,16.787,0.529394832,152.6513356
4122190,4,22,PLATTE RIVER,"NEAR AGENCY, MO",US,39.6889,-94.7044,4558.4,246.09,1924,2019,96,1.844350599,,,,,1924,2019,96,29.123,0.918422928,201.4792313
4122200,4,22,BIG BLUE RIVER,"RANDOLPH, KS",US,39.45,-96.717,23569,315.44,1918,1960,43,0,,,,,1918,1960,43,46.639,1.470807504,62.40432365
4122201,4,22,BIG BLUE RIVER,"NEAR MANHATTAN, KS",US,39.2372,-96.5714,24967.6,301.41,1950,2019,70,0,,,,,1950,2019,70,64.168,2.023602048,81.04912158
4122210,4,22,LITTLE BLUE RIVER,"WATERVILLE, KS",US,39.6997,-96.7547,9088.3,338.63,1922,1958,37,8.629364232,,,,,1922,1958,37,17.723,0.558912528,61.49802801
4122211,4,22,LITTLE BLUE RIVER,"NEAR BARNES, KS",US,39.7758,-96.8584,8609.2,347.49,1958,2019,62,0,,,,,1958,2019,62,18.467,0.582375312,67.64569437
4122212,4,22,LITTLE BLUE RIVER,"NEAR DEWEESE, NE",US,40.3328,-98.067,2548.6,497.64,1953,2018,66,3.046087174,,,,,1953,2018,66,3.82,0.12046752,47.26811583
4122220,4,22,SMOKY HILL RIVER,"ELLSWORTH, KS",US,38.7267,-98.2337,19632.2,495.95,1895,2019,125,12.71625344,,,,,1895,2019,125,6.302,0.198739872,10.12315848
4122221,4,22,SMOKY HILL RIVER,"ELKADER, KS",US,38.7925,-100.8557,9207.5,799.98,1939,2019,81,0.006861534,,,,,1939,2019,81,0.535,0.01687176,1.832393158
4122222,4,22,SMOKY HILL RIVER,"ENTERPRISE, KS",US,38.9067,-97.1203,49883.4,336.27,1934,2019,86,0,,,,,1934,2019,86,42.294,1.333783584,26.73802475
4122230,4,22,SALINE RIVER,"TESCOTT, KS",US,39.0042,-97.8742,7303.8,385.68,1919,2019,101,0.123382321,,,,,1919,2019,101,5.964,0.188080704,25.75107533
4122240,4,22,SOLOMON RIVER,"NILES, KS",US,38.9689,-97.4764,17534.3,353.86,1897,2019,123,11.4313959,,,,,1897,2019,123,15.55,0.4903848,27.96717291
4122250,4,22,GRAND RIVER,"NEAR GALLATIN, MO",US,39.927,-93.9427,5827.5,218.71,1920,2019,100,0.08047508,,,,,1920,2019,100,36.686,1.156929696,198.5293344
4122251,4,22,GRAND RIVER,"NEAR SUMNER, MO",US,39.6403,-93.2738,17819.2,192.38,1924,2018,95,0,,,,,1924,2018,95,121.838,3.842283168,215.6260196
4122255,4,22,THOMPSON RIVER,"TRENTON, MO",US,40.0795,-93.6444,4325.3,220.03,1928,2019,92,0,,,,,1928,2019,92,29.986,0.945638496,218.6295739
4122260,4,22,BLACKWATER RIVER,"BLUE LICK, MO",US,38.9922,-93.1969,2900.8,180.99,1922,2019,98,5.100716583,,,,,1922,2019,98,23.843,0.751912848,259.2087865
4122270,4,22,MARAIS DES CYGNES RIVER,"NEAR OTTAWA, KS",US,38.6186,-95.268,3237.5,261.42,1902,2019,118,11.12910038,,,,,1902,2019,118,19.537,0.616118832,190.3069751
4122271,4,22,MARAIS DES CYGNES RIVER,"NEAR KS-MO STATE LINE, KS",US,38.2225,-94.668,8365.7,230.75,1958,2019,62,0,,,,,1958,2019,62,61.293,1.932936048,231.0549085
4122280,4,22,GASCONADE RIVER,"JEROME, MO",US,37.9298,-91.9774,7355.6,200.45,1903,2019,117,14.16688267,,,,,1903,2019,117,75.076,2.367596736,321.8767655
4122281,4,22,GASCONADE RIVER,"NEAR RICH FOUNTAIN, MO",US,38.3889,-91.821,8236.2,168.77,1921,2019,99,27.67007996,,,,,1921,2019,99,87.264,2.751957504,334.1295141
4122300,4,22,OSAGE RIVER,"NEAR BAGNELL, MO",US,38.1914,-92.6074,36260,167.38,1925,2019,95,0.002911802,,,,,1925,2019,95,296.843,9.361240848,258.1699076
4122301,4,22,OSAGE RIVER,"ABOVE SHELL CITY, MO",US,38.0556,-94.1458,14011.9,213.36,1979,2012,34,13.32600051,,,,,1979,2012,34,138.234,4.359347424,311.117509
4122350,4,22,REPUBLICAN RIVER,"CLAY CENTER, KS",US,39.3556,-97.1264,63563.8,353.33,1917,2019,103,0,,,,,1917,2019,103,25.482,0.803600352,12.6424215
4122351,4,22,REPUBLICAN RIVER,"CAMBRIDGE, NEBR.",US,40.2847,-100.1435,37451.4,682.47,1945,2018,74,0,,,,,1945,2018,74,6.283,0.198140688,5.290608308
4122352,4,22,REPUBLICAN RIVER,"STRATTON, NEBR.",US,40.1411,-101.2288,21238,845.97,1950,2019,70,0,,,,,1950,2019,70,2.545,0.08025912,3.779033807
4122360,4,22,SAPPA CREEK,"NEAR STAMFORD, NEBR.",US,40.1314,-99.5546,9945.6,603.9,1946,2019,74,0,,,,,1946,2019,74,1.03,0.03248208,3.265974903
4122370,4,22,FRENCHMAN CREEK,"CULBERTSON, NEBR.",US,40.2347,-100.8782,7744.1,787.43,1935,2019,85,0,,,,,1935,2019,85,2.146,0.067676256,8.739073101
4122600,4,22,PLATTE RIVER,"LOUISVILLE, NEBR.",US,41.0153,-96.1581,221108.3,306.96,1953,2017,65,0.012724265,1973,1984,12,0,1953,2017,65,207.462,6.542521632,29.58967
4122601,4,22,PLATTE RIVER,"NEAR ASHLAND, NE",US,41.0622,-96.3247,218078,316.99,1928,2018,91,30.79838685,,,,,1928,2018,91,169.499,5.345320464,24.51104863
4122602,4,22,PLATTE RIVER,"NEAR DUNCAN, NEBR.",US,41.3678,-97.4948,153587,450.14,1895,2018,124,26.64257046,,,,,1895,2018,124,49.086,1.547976096,10.0788224
4122603,4,22,PLATTE RIVER,"NEAR GRAND ISLAND, NEBR.",US,40.8745,-98.282,149313.5,558.36,1934,2019,86,0,,,,,1934,2019,86,43.746,1.379573856,9.239444899
4122610,4,22,PLATTE RIVER,"SOUTH BEND, NEBR.",US,41.03,-96.3,221000,317,,,,,1965,1972,8,0,1965,1972,8,167.304,5.276098944,23.87375088
4122620,4,22,SALT CREEK,"GREENWOOD, NEBR.",US,40.9656,-96.4506,2719.5,325.57,1951,2019,69,0,,,,,1951,2019,69,10.543,0.332484048,122.2592565
4122630,4,22,LOUP RIVER,"NEAR GENOA, NEBR.",US,41.4181,-97.7239,37088.8,469.43,1929,2018,90,12.54503267,,,,,1929,2018,90,22.762,0.717822432,19.3541563
4122635,4,22,NORTH LOUP RIVER,"NEAR ST. PAUL, NEBR.",US,41.2633,-98.4492,11142.2,536.23,1928,2018,91,0,,,,,1928,2018,91,27.322,0.861626592,77.33002387
4122636,4,22,NORTH LOUP RIVER,"TAYLOR, NEBR.",US,41.7769,-99.3796,6086.5,685.25,1936,2019,84,0,,,,,1936,2019,84,14.221,0.448473456,73.68330831
4122637,4,22,MIDDLE LOUP RIVER,"ST.PAUL, NEBR.",US,41.2036,-98.4465,20914.3,541.51,1928,2018,91,0,,,,,1928,2018,91,32.281,1.018013616,48.67548118
4122638,4,22,MIDDLE LOUP RIVER,"DUNNING, NEBR.",US,41.8306,-100.106,4739.7,793.74,1945,2019,75,31.30729671,,,,,1945,2019,75,12.989,0.409621104,86.42342427
4122639,4,22,SOUTH LOUP RIVER,"ST. MICHAELS, NEBR.",US,41.0314,-98.7406,6008.8,585.6,1943,2019,77,0,,,,,1943,2019,77,6.484,0.204479424,34.02999334
4122650,4,22,MISSOURI RIVER,"NEBRASKA CITY, NEBR.",US,40.6819,-95.8469,1072153.8,275.95,1929,2019,91,0,1965,1984,20,0,1929,2019,91,1108.921,34.97093266,32.61745904
4122700,4,22,KANSAS RIVER,"DESOTO, KANS.",US,38.9833,-94.9647,154768,229.78,1917,2019,103,0,1973,1984,12,0,1917,2019,103,204.902,6.461789472,41.75145684
4122701,4,22,KANSAS RIVER,"WAMEGO, KS",US,39.1978,-96.3047,143175.2,289.81,1919,2019,101,0.002728364,,,,,1919,2019,101,141.709,4.468935024,31.21305243
4122710,4,22,KANSAS RIVER,"BONNER SPRINGS, KANS.",US,39.0603,-94.8727,155213.5,224.35,1917,1973,57,0,1965,1972,8,0,1917,1973,57,186.559,5.883324624,37.90472236
4122900,4,22,MISSOURI RIVER,"HERMANN, MO.",US,38.71,-91.4393,1357678,146.78,1928,2019,92,0,1897,1988,92,0.824175824,1897,2019,123,2334.358,73.61631389,54.22221903
4122901,4,22,MISSOURI RIVER,"BOONVILLE, MO",US,38.9784,-92.7538,1296813,172.34,1925,2019,95,0,,,,,1925,2019,95,1836.281,57.90895762,44.65482503
4122902,4,22,MISSOURI RIVER,"KANSAS CITY, MO",US,39.1119,-94.588,1253819,215.31,1928,2019,92,0,,,,,1928,2019,92,1511.27,47.65941072,38.01139616
4122903,4,22,MISSOURI RIVER,"RULO, NE",US,40.0536,-95.4222,1084844.8,255.19,1949,2019,71,0,,,,,1949,2019,71,1245.576,39.28048474,36.20839104
4123050,4,23,OHIO RIVER,"METROPOLIS, ILL.",US,37.1476,-88.7409,525770,84.21,1928,2015,88,0,1928,1984,57,0,1928,2015,88,7908.76,249.4106554,474.3721691
4123060,4,23,TENNESSEE RIVER,"PADUCAH, KY.",US,37.02,-88.28,104118,87,,,,,1965,1984,20,0,1965,1984,20,1853.237,58.44368203,561.321597
4123061,4,23,TENNESSEE RIVER,"WHITESBURG, AL",US,34.5717,-86.5581,66329.9,167.34,1924,2005,82,10.39040054,1924,2001,78,3.138528139,1924,2005,82,1219.944,38.47215398,580.0122416
4123062,4,23,TENNESSEE RIVER,"SAVANNAH, TN",US,35.2248,-88.2573,85832.6,106.7,1930,2006,77,0.032665505,,,,,1930,2006,77,1551.655,48.93299208,570.0979824
4123063,4,23,TENNESSEE RIVER,"CHATTANOOGA, TN",US,35.0867,-85.2786,55426,189.32,1874,2008,135,0,,,,,1874,2008,135,1030.689,32.5038083,586.4361185
4123070,4,23,CUMBERLAND RIVER,"SMITHLAND, KY.",US,37.15,-88.4,46395,91,,,,,1965,1972,8,0,1965,1972,8,944.469,29.78477438,641.9824202
4123080,4,23,CUMBERLAND RIVER,"NEAR GRAND RIVERS, KY.",US,37.0217,-88.2231,45578.8,91.44,1940,1997,58,1.737929721,1973,1984,12,0.694444444,1940,1997,58,932.785,29.41630776,645.3945203
4123081,4,23,CUMBERLAND RIVER,"OLD HICKORY DAM (TW), TN",US,36.2964,-86.6578,30233,-999,1931,2007,77,6.581649195,,,,,1931,2007,77,532.356,16.78837882,555.2997988
4123082,4,23,CUMBERLAND RIVER,"WILLIAMSBURG, KY",US,36.744,-84.1583,4162.1,271.74,1950,2019,70,0.244254024,,,,,1950,2019,70,76.591,2.415373776,580.3257433
4123083,4,23,CUMBERLAND RIVER,"NEAR HARLAN, KY",US,36.8468,-83.3557,968.7,347.5,1940,2019,80,5.041233912,,,,,1940,2019,80,19.949,0.629111664,649.4391081
4123085,4,23,CUMBERLAND RIVER,"NEAR STEARNS, KY (SOUTH FORK)",US,36.627,-84.5333,2470.9,233.11,1942,2019,78,16.22246735,,,,,1942,2019,78,50.028,1.577683008,638.5054061
4123090,4,23,SKILLET FORK,"WAYNE CITY, ILL.",US,38.357,-88.5834,1201.8,117.78,1908,2019,112,7.43106595,,,,,1908,2019,112,12.304,0.388018944,322.8648228
4123095,4,23,DUCK RIVER,"ABOVE HURRICANE MILLS, TENN",US,35.9301,-87.7431,6622.6,112.94,1925,2018,94,5.498443283,,,,,1925,2018,94,115.225,3.6337356,548.6871621
4123100,4,23,SKILLET FORK,"NEAR IUKA, ILL.",US,38.5195,-88.7276,538.7,121.92,1965,1982,18,0,,,,,1965,1982,18,4.721,0.148881456,276.3717394
4123110,4,23,LITTLE WABASH RIVER,"BELOW CLAY CITY, ILL.",US,38.6348,-88.2973,2929.3,119.57,1914,2019,106,0.002608038,,,,,1914,2019,106,28.136,0.887296896,302.9040713
4123111,4,23,LITTLE WABASH RIVER,"CARMI, IL",US,38.0612,-88.1598,8034.2,103.61,1939,2019,81,0,,,,,1939,2019,81,83.541,2.634548976,327.9167778
4123120,4,23,BONPAS CREEK,"BROWNS, ILL.",US,38.3864,-87.9756,590.5,113.67,1916,2019,104,23.09785508,,,,,1916,2019,104,6.991,0.220468176,373.3584691
4123130,4,23,WABASH RIVER,"MOUNT CARMEL, ILL.",US,38.402,-87.7528,74164.7,112.61,1927,2019,93,0,1965,1984,20,0,1927,2019,93,839.818,26.48450045,357.1038573
4123131,4,23,WABASH RIVER,"LAFAYETTE, IN",US,40.422,-86.897,18821.5,153.66,1923,2019,97,0,,,,,1923,2019,97,198.273,6.252737328,332.2124872
4123135,4,23,EEL RIVER,"NEAR LOGANSPORT, IN",US,40.782,-86.2639,2043.5,189.43,1943,2019,77,0,,,,,1943,2019,77,22.612,0.713092032,348.9562183
4123136,4,23,TIPPECANOE RIVER,"NEAR ORA, IN",US,41.1573,-86.5636,2217,211.2,1943,2019,77,0.007224911,,,,,1943,2019,77,25.35,0.7994376,360.5943166
4123137,4,23,EMBARRAS RIVER,"STE. MARIE, IL",US,38.9364,-88.0225,3926.4,135.87,1908,2019,112,2.577701036,,,,,1908,2019,112,36.932,1.164687552,296.6298778
4123140,4,23,BIG CREEK,"NEAR WADESVILLE, IND.",US,38.0828,-87.7695,269.4,112.78,1965,2019,55,0,,,,,1965,2019,55,3.558,0.112205088,416.4999555
4123150,4,23,HIWASSEE RIVER,"ABOVE MURPHY, NC",US,35.0803,-84.0027,1051.5,468.85,1897,2004,108,0,1897,2001,105,0,1897,2004,108,25.929,0.817696944,777.6480685
4123200,4,23,WHITE RIVER,"NOBLESVILLE, IN",US,40.0473,-86.0167,2222.2,224.99,1946,2019,74,0,,,,,1946,2019,74,26.354,0.831099744,373.9986248
4123201,4,23,WHITE RIVER,"NEWBERRY, IN",US,38.9275,-87.0114,12141.9,141.91,1928,2019,92,0,,,,,1928,2019,92,146.766,4.628412576,381.1934356
4123202,4,23,WHITE RIVER,"PETERSBURG, IN",US,38.5109,-87.2895,28813.8,121.92,1928,2019,92,0,,,,,1928,2019,92,364.175,11.4846228,398.5806384
4123205,4,23,WHITE RIVER,"COLUMBUS, IN (EAST FORK)",US,39.2001,-85.9255,4421.1,183.83,1948,2019,72,0,,,,,1948,2019,72,57.232,1.804868352,408.239658
4123206,4,23,WHITE RIVER,"SEYMOUR, IN (EAST FORK)",US,38.9826,-85.8991,6063.2,167.84,1927,2019,93,0,,,,,1927,2019,93,76.93,2.42606448,400.1293838
4123207,4,23,WHITE RIVER,"SHOALS, IN (EAST FORK)",US,38.6673,-86.7922,12760.9,134.8,1903,2019,117,8.631240697,,,,,1903,2019,117,165.255,5.21148168,408.3945239
4123208,4,23,BIG BLUE RIVER,"SHELBYVILLE, IN",US,39.5292,-86.7819,1090.4,224.84,1943,2019,77,0,,,,,1943,2019,77,14.246,0.449261856,412.015642
4123209,4,23,SUGAR CREEK,"NEAR EDINBURGH, IN",US,39.3609,-85.9975,1227.7,196.97,1943,2019,77,0,,,,,1943,2019,77,15.238,0.480545568,391.4193761
4123210,4,23,DRIFTWOOD RIVER,"NEAR EDINBURGH, IN",US,39.3392,-85.9864,2745.4,194.16,1941,2019,79,24.8981026,,,,,1941,2019,79,34.788,1.097074368,399.6045633
4123220,4,23,GREEN RIVER,"MUNFORDVILLE, KY",US,37.2681,-85.8861,4333.1,137.68,1915,2019,105,13.91464215,,,,,1915,2019,105,78.421,2.473084656,570.742576
4123225,4,23,BLUE RIVER,"NEAR WHITE CLOUD, IN",US,38.2376,-86.2283,1232.8,132.36,1931,2019,89,0,,,,,1931,2019,89,19.554,0.616654944,500.2068008
4123230,4,23,GREAT MIAMI RIVER,"HAMILTON, OH",US,39.3912,-84.5722,9401.7,152.39,1927,2018,92,0,,,,,1927,2018,92,101.202,3.191506272,339.460552
4123235,4,23,STILLWATER RIVER,"ENGELWOOD, OH",US,39.8695,-84.2824,1683.5,213.31,1925,2018,94,0,,,,,1925,2018,94,17.601,0.555065136,329.7090205
4123240,4,23,ELKHORN CREEK,"NEAR FRANKFORT, KY",US,38.2687,-84.8147,1225.1,164.65,1915,2019,105,23.36367691,,,,,1915,2019,105,19.115,0.60281064,492.050151
4123245,4,23,ROLLING FORK,"NEAR BOSTON, KY",US,37.7673,-85.7038,3364.4,122.05,1938,2015,78,0,,,,,1938,2015,78,51.672,1.629528192,484.3443681
4123250,4,23,LICKING RIVER,"CATAWBA, KY",US,38.7087,-84.3105,8547,152.4,1915,2019,105,21.87171399,,,,,1915,2019,105,118.94,3.75089184,438.8547841
4123251,4,23,LICKING RIVER,"MCKINNEYSBURG, KY",US,38.5978,-84.2666,6024.3,158.75,1924,2019,96,18.98144152,,,,,1924,2019,96,87.808,2.769113088,459.6572362
4123252,4,23,LICKING RIVER,"CYNTHIANA, KY (SOUTH FORK)",US,38.3909,-84.303,1608.4,209.86,1938,2011,74,16.13742842,,,,,1938,2011,74,19.728,0.622142208,386.8081373
4123255,4,23,OHIO BRUSH CREEK,"NEAR WEST UNION, OH",US,38.8037,-83.421,1002.3,155.63,1926,2018,93,5.430617035,,,,,1926,2018,93,13.133,0.414162288,413.2119006
4123260,4,23,SCIOTO RIVER,"HIGBY, OH",US,39.2123,-82.8638,13289.3,172.91,1930,2018,89,0,,,,,1930,2018,89,141.242,4.454207712,335.1724855
4123265,4,23,BIG COAL RIVER,"ASHFORD, WV",US,38.1798,-81.7115,1012.7,189.73,1908,2019,112,12.22736448,,,,,1908,2019,112,15.049,0.474585264,468.6336171
4123268,4,23,KANAWHA RIVER,"KANAWHA FALLS, WV",US,38.1382,-81.2143,21680.9,189.34,1877,2019,143,0,,,,,1877,2019,143,356.407,11.23965115,518.4125729
4123270,4,23,GREENBRIER RIVER,"HILLDALE, WV",US,37.6401,-80.8051,4193.2,423.26,1936,2019,84,0,,,,,1936,2019,84,65.408,2.062706688,491.9170772
4123271,4,23,GREENBRIER RIVER,"ALDERSON, WV",US,37.7243,-80.6415,3532.8,466.17,1895,2019,125,0,,,,,1895,2019,125,57.059,1.799412624,509.344606
4123272,4,23,GREENBRIER RIVER,"BUCKEYE, WV",US,38.186,-80.1306,1398.6,635.78,1929,2019,91,0.893977895,,,,,1929,2019,91,25.427,0.801865872,573.3346718
4123275,4,23,BLUESTONE RIVER,"NEAR PIPESTEM, WV",US,37.544,-81.0104,1023.1,465.54,1950,2019,70,0.003968569,,,,,1950,2019,70,13.54,0.42699744,417.3565047
4123277,4,23,NEW RIVER,"ALLISONIA, VA",US,36.9376,-80.7456,5703.2,563.38,1929,2019,91,0,,,,,1929,2019,91,90.789,2.863121904,502.0202525
4123278,4,23,NEW RIVER,"NEAR GALAX, VA",US,36.6474,-80.979,2929.3,673.01,1929,2019,91,0,,,,,1929,2019,91,54.085,1.70562456,582.2635305
4123280,4,23,HOCKING RIVER,"ATHENS, OH",US,39.329,-82.0876,2442.4,186.31,1915,2019,105,0,,,,,1915,2019,105,29.262,0.922806432,377.8277236
4123290,4,23,MIDDLE ISLAND CREEK,"LITTLE, WV",US,39.4751,-80.9972,1186.2,192.43,1915,2019,105,24.5636239,,,,,1915,2019,105,18.427,0.581113872,489.8953566
4123300,4,23,OHIO RIVER,"LOUISVILLE, KY.",US,38.2803,-85.7991,236130,113.75,1928,2018,91,0.006041019,1965,1984,20,0,1928,2018,91,3378.05,106.5301848,451.150573
4123301,4,23,OHIO RIVER,MARTINS FERRY,US,40.1051,-80.7084,63765.8,186.17,1978,1995,18,0,,,,,1978,1995,18,1214.354,38.29586774,600.5706467
4123310,4,23,MUSCATATUCK RIVER,"NEAR DEPUTY, IND.",US,38.8042,-85.6739,758.9,164.59,1948,2019,72,0,,,,,1948,2019,72,10.764,0.339453504,447.2967506
4123320,4,23,LITTLE BEAVER CREEK,"NEAR EAST LIVERPOOL, OH",US,40.6759,-80.5406,1284.6,214.2,1915,2019,105,0,,,,,1915,2019,105,15.106,0.476382816,370.8413638
4123330,4,23,TYGART VALLEY RIVER,"PHILIPPI, WV",US,39.1504,-80.0387,2367.3,390.31,1940,2018,79,0,,,,,1940,2018,79,54.794,1.727983584,729.9385731
4123331,4,23,TYGART VALLEY RIVER,"BELINGTON, WV",US,39.0293,-79.9359,1051.5,511.91,1907,2019,113,0.002441943,,,,,1907,2019,113,23.458,0.739771488,703.5392183
4123335,4,23,DRY FORK,"HENDRICKS, WV",US,39.0723,-79.6228,903.9,517.78,1940,2019,80,2.540223095,,,,,1940,2019,80,22.595,0.71255592,788.312778
4123337,4,23,SHAVERS FORK,"PARSONS, WV",US,39.0962,-79.6767,551.7,498.31,1910,1998,89,20.69265955,,,,,1910,1998,89,15.748,0.496628928,900.1793148
4123340,4,23,CHEAT RIVER,"ROWLESBURG, WV",US,39.3462,-79.6653,2432,417.04,1923,1996,74,0,,,,,1923,1996,74,65.375,2.061666,847.7245066
4123341,4,23,CHEAT RIVER,"NEAR PARSONS, WV",US,39.1229,-79.6812,1870,484.53,1913,2019,107,0.002578582,,,,,1913,2019,107,49.649,1.565730864,837.2892321
4123345,4,23,YOUGHIOGHENY RIVER,"NEAR OAKLAND, MD",US,39.4216,-79.4249,347.1,717.38,1941,2019,79,0,,,,,1941,2019,79,8.797,0.277422192,799.2572515
4123347,4,23,CASSELMAN RIVER,"MARKLETON, PA",US,39.8598,-79.2275,989.4,504.53,1920,2019,100,0,,,,,1920,2019,100,19.056,0.600950016,607.3883323
4123350,4,23,ALLEGHENY RIVER,"SALAMANCA, NY",US,42.1565,-78.7153,4164.7,413.92,1903,2019,117,0,,,,,1903,2019,117,79.297,2.500710192,600.4538603
4123351,4,23,ALLEGHENY RIVER,"ELDRED, PA",US,41.9634,-78.3861,1424.5,431.76,1939,2019,81,0,,,,,1939,2019,81,27.434,0.865158624,607.3419614
4123352,4,23,ALLEGHENY RIVER,"NATRONA, PA",US,40.6153,-79.7184,29551.9,224.44,1938,2019,82,0,,,,,1938,2019,82,566.391,17.86170658,604.4182126
4123355,4,23,FRENCH CREEK,"UTICA, PA",US,41.4376,-79.9559,2662.5,310.73,1932,2019,88,0,,,,,1932,2019,88,54.338,1.713603168,643.6068237
4123357,4,23,REDBANK CREEK,"ST. CHARLES, PA",US,40.9945,-79.3942,1367.5,296.61,1918,2019,102,0.65673424,,,,,1918,2019,102,25.375,0.800226,585.1744059
4123360,4,23,NANTAHALA RIVER,"NEAR RAINBOW SPRINGS, NC",US,35.127,-83.6191,134.4,936.64,1940,2019,80,0,,,,,1940,2019,80,5.777,0.182183472,1355.531786
4123365,4,23,OCONALUFTEE RIVER,"BIRDTOWN, NC",US,35.4615,-83.3535,476.6,561.84,1945,2019,75,2.371775867,,,,,1945,2019,75,14.556,0.459038016,963.1515233
4123370,4,23,CLINCH RIVER,"ABOVE TAZEWELL, TN",US,36.4251,-83.3982,3817.7,323.3,1919,2019,101,0.36670133,,,,,1919,2019,101,58.151,1.833849936,480.354647
4123375,4,23,EMORY RIVER,"OAKDALE, TN",US,35.9831,-84.558,1978.8,232.07,1927,2019,93,0,,,,,1927,2019,93,42.12,1.32829632,671.2635537
4123380,4,23,FRENCH BROAD RIVER,"ASHEVILLE, NC",US,35.6093,-82.5785,2447.6,594.45,1895,2019,125,0,,,,,1895,2019,125,59.019,1.861223184,760.4278412
4123381,4,23,FRENCH BROAD RIVER,"BENT CREEK, NC",US,35.5021,-82.5923,1750.8,608.35,1934,1986,53,0,,,,,1934,1986,53,47.849,1.508966064,861.8723235
